;Vienna 1873 Crosstable;;;;;;;;;;;;;
Pl;Name;Total;1;2;3;4;5;6;7;8;9;10;11;12
1;Joseph Henry Blackburne (United Kingdom);21.5;x;11½;101;00½;110;11;11;110;11;110;1½1;011
2;Wilhelm Steinitz (Bohemia);20.5;00½;x;11;11;11;11;11;½½1;½½1;11;11;11
3;Adolf Anderssen (German Empire);19.0;010;00;x;101;11;101;101;0½1;½1½;110;11;1½1
4;Samuel Rosenthal (France);17.0;11½;00;010;x;0½1;00;110;11;11;11;011;11
5;Louis Paulsen (German Empire);16.0;001;00;00;1½0;x;11;0½1;11;1½1;1½0;11;11
6;Henry Edward Bird (United Kingdom);14.5;00;00;010;11;00;x;10½;11;11;11;11;11
7;Josef Heral (Austria);12.0;00;00;010;001;1½0;01½;x;½10;01½;10½;½10;001
8;Max Fleissig (Hungary);11.5;001;½½0;1½0;00;00;00;½01;x;101;01½;010;11
9;Philipp Meitner (Austria);11.5;00;½½0;½0½;00;0½0;00;10½;010;x;½11;1½½;11
10;Adolf Schwarz (Hungary);10.5;001;00;001;00;0½1;00;01½;10½;½00;x;½½½;1½½
11;Oscar Gelbfuhs (Austria);10.0;0½0;00;00;100;00;00;½01;101;0½½;½½½;x;½11
12;Karl Pitschel (Austria);5.0;100;00;0½0;00;00;00;110;00;00;0½½;½00;x
