new-york-masters-1924
gamefile after 22 rounds (double round robin)
;Zermelo;2,43;3,44;3,84;4,72;6,40;7,12;7,84;8,71;10,7;18,4;26,4
Pl;Name;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;Emanuel Lasker (Germany);;2w½;3b1;4w½;5b1;6w1;7b1;8w½;9b½;10w½;11b1;;2w0;3b½;4w1;5b1;6w1;7b1;8w1;9b1;10w1;11b1
2;José Raúl Capablanca (Cuba);11w½;1b½;;3w½;4b½;5w0;6b½;7w1;8b1;9w1;10b½;11w1;1b1;;3w½;4b½;5w1;6b1;7w1;8b1;9w½;10b1
3;Alexander Alekhine (Soviet Union)};10w½;11b1;1w0;2b½;;4w½;5b1;6w1;7b½;8w½;9b1;10w½;11b1;1w½;2b½;;4w½;5b0;6w½;7b½;8w½;9b1
4;Frank Marshall (United States);9w½;10b1;11w1;1b½;2w½;3b½;;5w½;6b0;7w0;8b½;9w1;10b½;11w1;1b0;2w½;3b½;;5w1;6b½;7w1;8b0
5;Richard Réti (Czechoslovakia);8w1;9b1;10w1;11b1;1w0;2b1;3w0;4b½;;6w½;7b0;8w1;9b0;10w0;11b1;1w0;2b0;3w1;4b0;;6w½;7b1
6;Géza Maróczy (Hungary);7w0;8b½;9w1;10b½;11w1;1b0;2w½;3b0;4w1;5b½;;7w1;8b½;9w1;10b1;11w0;1b0;2w0;3b½;4w½;5b½;
7;Efim Bogoljubow (Soviet Union);6b1;;8w0;9b1;10w½;11b0;1w0;2b0;3w½;4b1;5w1;6b0;;8w1;9b1;10w1;11b1;1w0;2b0;3w½;4b0;5w0
8;Savielly Tartakower (Poland);5b0;6w½;7b1;;9w1;10b½;11w½;1b½;2w0;3b½;4w½;5b0;6w½;7b0;;9w0;10b0;11w1;1b0;2w0;3b½;4w1
9;Fred Yates (England);4b½;5w0;6b0;7w0;8b0;;10w1;11b½;1w½;2b0;3w0;4b0;5w1;6b0;7w0;8b1;;10w1;11b1;1w0;2b½;3w0
10;Edward Lasker (United States);3b½;4w0;5b0;6w½;7b½;8w½;9b0;;11w0;1b½;2w½;3b½;4w½;5b1;6w0;7b0;8w1;9b0;;11w½;1b0;2w0
11;Dawid Janowski (France);2b½;3w0;4b0;5w0;6b0;7w1;8b½;9w½;10b1;;1w0;2b0;3w0;4b0;5w0;6b1;7w0;8b0;9w0;10b½;;1w0
