Nederlands Kampioenschap Algemeen KNDB 1934
fill in FMJD-report
Pl;FMJD-id;Title;Name;Cn;FMJD;R1;R2;R3;R4;R5;R6;R7;R8;R9;Pt 
1;;;Reinier Cornelis Keller;nl;;1/7w;2/6b;1/2b;1/4w;2/5b;2/9w;1/8b;2/10w;0/3w;114
2;;;Baris Dukel;nl;;0/5w;2/10b;1/1w;2/8w;1/4b;1/6w;2/9b;2/3b;1/7w;78
3;;;Nico Cohen;nl;;1/4w;1/7b;1/5b;2/9w;0/8b;1/10b;1/6w;0/2w;2/1b;13
4;;;Piet van Dartelen;nl;;1/3b;2/8b;1/10w;1/1b;1/2w;1/7b;1/5w;1/9w;0/6b;13
5;;;Arnold Damme;nl;;2/2b;1/9b;1/3w;0/7b;0/1w;1/8w;1/4b;1/6w;2/10b;13
6;;;Wim Rustenburg;nl;;1/9w;0/1w;2/8w;2/10b;1/7w;1/2b;1/3b;1/5b;2/4w;13
7;;;Johan Vos;nl;;1/1b;1/3w;0/9b;2/5w;1/6b;1/4w;0/10w;1/8b;1/2b;12
8;;;Freek Raman;nl;;2/10b;0/4w;0/6b;0/2b;2/3w;1/5b;1/1w;1/7w;1/9b;10
9;;;Cornelis Joannes Lochtenberg;nl;;1/6b;1/5w;2/7w;0/3b;1/10w;0/1b;0/2w;1/4b;1/8w;7
10;;;André (Puk) Ligthart;nl;;0/8w;0/2w;1/4b;0/6w;1/9b;1/3w;2/7b;0/1b;0/5w;5
