WK (onofficieel) Computerdammen  2022 (Rapid)
fill in FMJD-report
Pl;FMJD-id;Title;Name;Cn;FMJD;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;R31;R32;R33;R34;Pt 
1;;;Ares (Joost Buijs);nl;;2/9w;2/14w;2/17b;1/4w;1/5b;2/15w;1/7b;1/10w;2/18b;1/3w;1/8b;2/11w;2/16b;1/2w;1/6b;2/12w;2/13b;1/9b;2/14b;2/17w;1/4b;1/5w;2/15b;1/7w;1/10b;2/18w;1/3b;2/8w;2/11b;2/16w;1/2b;1/6w;2/12b;2/13w;52
2;;;Scan (Fabien Letouzey);fr;;1/5b;2/15w;1/7b;1/10w;2/18b;1/3w;1/8b;2/11w;2/16b;1/9b;1/6w;2/12b;1/13w;1/1b;2/14w;2/17b;1/4w;1/5w;1/15b;1/7w;2/10b;2/18w;1/3b;1/8w;2/11b;2/16w;2/9w;1/6b;2/12w;2/13b;1/1w;2/14b;2/17w;1/4b;50
3;;;Kingsrow (Ed Gilbert);us;;2/18b;2/9b;1/8w;1/11b;2/16w;1/2b;1/6w;1/12b;1/13w;1/1b;2/14w;2/17b;1/4w;1/5b;2/15w;2/7b;1/10w;2/18w;1/9w;1/8b;2/11w;2/16b;1/2w;1/6b;2/12w;1/13b;1/1w;2/14b;2/17w;1/4b;1/5w;2/15b;1/7w;2/10b;49
4;;;Damage (Bert Tuyt);nl;;1/6w;1/12b;1/13w;1/1b;2/14w;2/17b;1/9w;1/5w;2/15b;1/7w;2/10b;2/18w;1/3b;1/8w;1/11b;2/16w;1/2b;1/6b;2/12w;2/13b;1/1w;2/14b;2/17w;1/9b;1/5b;1/15w;2/7b;2/10w;2/18b;1/3w;1/8b;1/11w;2/16b;1/2w;48
5;;;Dragon (Michel Grimminck);nl;;1/2w;1/6b;1/12w;2/13b;1/1w;2/14b;2/17w;1/4b;1/9w;2/15w;1/7b;1/10w;2/18b;1/3w;1/8b;1/11w;2/16b;1/2b;1/6w;1/12b;1/13w;1/1b;2/14w;2/17b;1/4w;1/9b;2/15b;1/7w;2/10b;2/18w;1/3b;1/8w;2/11b;2/16w;47
6;;;Sjende Blyn (Jelle Wiersma);nl;;1/4b;1/5w;2/15b;1/7w;1/10b;2/18w;1/3b;1/8w;1/11b;2/16w;1/2b;1/9b;1/12w;2/13b;1/1w;2/14b;2/17w;1/4w;1/5b;2/15w;1/7b;1/10w;2/18b;1/3w;1/8b;2/11w;2/16b;1/2w;1/9w;1/12b;1/13w;1/1b;2/14w;2/17b;46
7;;;Edeon Sport (Naumik, Odnoklubov, Naumik);by;;1/11w;2/16b;1/2w;1/6b;1/12w;2/13b;1/1w;2/14b;2/17w;1/4b;1/5w;2/15b;1/9w;1/10w;2/18b;0/3w;1/8b;1/11b;2/16w;1/2b;1/6w;1/12b;1/13w;1/1b;2/14w;2/17b;0/4w;1/5b;2/15w;1/9b;1/10b;2/18w;1/3b;1/8w;43
8;;;Maximus (Jan-Jaap van Horssen);nl;;1/10b;2/18w;1/3b;1/9b;1/11w;2/16b;1/2w;1/6b;1/12w;2/13b;1/1w;1/14b;2/17w;1/4b;1/5w;2/15b;1/7w;2/10w;2/18b;1/3w;1/9w;1/11b;2/16w;1/2b;1/6w;1/12b;2/13w;0/1b;1/14w;2/17b;1/4w;1/5b;1/15w;1/7b;43
9;;;Truus (Stef Keetman);nl;;0/1b;0/3w;1/14b;1/8w;2/17b;1/11w;1/4b;2/16w;1/5b;1/2w;2/15b;1/6w;1/7b;2/12w;1/10b;1/13w;2/18b;1/1w;1/3b;1/14w;1/8b;2/17w;2/11b;1/4w;1/16b;1/5w;0/2b;2/15w;1/6b;1/7w;2/12b;1/10w;1/13b;2/18w;41
10;;;Flits (Adri Vermeulen);nl;;1/8w;1/11b;1/16w;1/2b;1/6w;0/12b;1/13w;1/1b;1/14w;2/17b;0/4w;1/5b;2/15w;1/7b;1/9w;2/18w;1/3b;0/8b;1/11w;2/16b;0/2w;1/6b;2/12w;2/13b;1/1w;1/14b;1/17w;0/4b;0/5w;2/15b;1/7w;1/9b;2/18b;0/3w;35
