From the Tournament-Database of Chess-Results http://chess-results.com;;;;;;;;;;;;;;;;;;
Moscow Open 2018_A ;;;;;;;;;;;;;;;;;;
Rk.;;Name;Rtg;FED;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;Pts. ;TB1;TB2;TB3;TB4
1;IM;Lomasov Semen ;2530;RUS;161w1;100b1; 22w½; 46b½; 42w1; 44b1; 18w1;  2b1;  6w1;8;50;46,5;0;44,25
2;GM;Nabaty Tamir ;2658;ISR;169b1; 48w1; 18b1; 42w1; 17b½; 43w1;  9b1;  1w0;  8w1;7,5;52,5;49;0;41,5
3;IM;Vavulin Maksim ;2575;RUS;102w1; 39b1;  6w1;  9b0; 11w½; 16b1; 15w1; 10b½; 19w1;7;55,5;51;0;42,5
4;FM;Afanasiev Nikita ;2364;RUS;166b1; 14w1; 92w½; 13b1; 23w½; 25b1; 19w1;  8b0; 21w1;7;51,5;47,5;0;40,25
5;GM;Timofeev Artyom ;2563;RUS;103b1; 69w½; 73w1; 22b½; 28w½; 58b½;128w1; 44b1; 18w1;7;46,5;42,5;0;35,5
6;FM;Samusenko Maksim ;2422;RUS;124b1; 64w1;  3b0; 66w1;127b1;  7w1; 14b½; 17w1;  1b0;6,5;52;48;0;33,75
7;GM;Mozharov Mikhail ;2539;RUS;109w1; 53b½; 58w1; 34b1;  9w½;  6b0; 54w1; 22b1; 11w½;6,5;52;47,5;0;36,25
8;IM;Zakhartsov Vladimir ;2472;RUS;114w1; 45b½; 65w1; 29b0;198w+; 76w1; 43b1;  4w1;  2b0;6,5;50,5;46;0;32
9;IM;Shukh Nikolai ;2435;RUS;208b1;135w1; 50b1;  3w1;  7b½; 17w1;  2w0; 21b0; 42w1;6,5;50;48;0;33,25
10;GM;Kokarev Dmitry ;2616;RUS; 97b½;105w1; 69b1; 12w½; 32b½; 59w1; 62b1;  3w½; 13b½;6,5;49,5;45;0;34,25
11;GM;Harutjunyan Gevorg ;2407;ARM;158w1; 95b1; 20w½; 57b½;  3b½;122w1; 36b1; 14w½;  7b½;6,5;49;45,5;0;33,5
12;FM;Fakhrutdinov Timur ;2417;RUS;167w1;201b1; 57w½; 10b½; 74w1; 23b½; 21w½; 20b½; 47w1;6,5;47,5;44;0;32,75
13;IM;Khegay Dmitriy ;2495;RUS;156b1; 26w½;214b1;  4w0; 49b½; 50w1; 60w1; 58b1; 10w½;6,5;47;43,5;0;31
