Mannheim 1914
Gamefile na 11 rondes
Pl;Name;1;2;3;4;5;6;7;8;9;10;11
1;Alekhine;10b1;16w½;14b1;4w1;15b1;7b0;8w1;17b1;9w1;18b1;13w1
2;Vidmar;7w1;6w1;12b½;11w1;3b½;5w½;10b½;16w1;14b1;4w½;15b1
3;Spielmann;17w1;9b1;18w1;13b1;2w½;6b½;12w½;11b1;7w0;5w1;10b½
4;Breyer;14b½;7b½;15w1;1b0;8w0;17b1;9w1;18b1;13w1;2b½;6w½
5;Marshall;8w½;17b½;9w½;18b½;13w1;2b½;6w1;12b½;11w1;3b0;7w1
6;Reti;13w1;2b0;7w½;12w1;11b1;3w½;5b0;10w1;16b1;14w½;4b½
7;Janovski;2b0;4w½;6b½;15w½;12b1;1w1;11b0;8w1;3b1;17w1;5b0
8;Bogoljubov;5b½;10w0;16b½;14w1;4b1;15w1;1b0;7b0;17w0;9b½;18w1
9;Tarrash;11b0;3w0;5b½;10w1;16b1;14w1;4b0;15w1;1b0;8w½;17b½
10;Duras;1w0;8b1;17w1;9b0;18w1;13b0;2w½;6b0;12w0;11b1;3w½
11;W John;9w1;18b0;13w1;2b0;6w0;12b1;7w1;3w0;5b0;10w0;16b1
12;Tartakower;18w1;13b½;2w½;6b0;7w0;11w0;3b½;5w½;10b1;16w½;14b0
13;Fahrni;6b0;12w½;11b0;3w0;5b0;10w1;16b½;14w1;4b0;15w1;1b0
14;AE Post;4w½;15b0;1w0;8b0;17w1;9b0;18w1;13b0;2w0;6b½;12w1
15;Carls;16b½;14w1;4b0;7b½;1w0;8b0;17w½;9b0;18w1;13b0;2w0
16;P Kruger;15w½;1b½;8w½;17b½;9w0;18b½;13w½;2b0;6w0;12b½;11w0
17;Flamberg;3b0;5w½;10b0;16w½;14b0;4w0;15b½;1w0;8b1;7b0;9w½
18;Mieses;12b0;11w1;3b0;5w½;10b0;16w½;14b0;4w0;15b0;1w0;8b0
