;Wereldkampioenschap KNDB 1960
;Berger rooster
;fill in FMJD-report
Pl;Sno;Title;Name;Cn;FMJD;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;Pt 
 1; 1;;Viacheslav Shchegolev;;;2/8w;1/12w;1/4b;2/5w;2/9b;2/7w;2/3b;2/13w;2/14b;1/2w;2/11b;2/6w;2/10b;1/8b;2/12b;1/4w;1/5b;1/9w;1/7b;1/3w;2/13b;2/14w;2/2b;2/11w;2/6b;1/10w;42
 2;10;;Baba Sy;;;2/9b;1/7w;0/3b;2/13w;2/14b;2/8b;2/11w;1/6b;1/10w;1/1b;2/12w;1/4b;2/5w;2/9w;1/7b;2/3w;2/13b;2/14w;2/8w;2/11b;2/6w;2/10b;0/1w;2/12b;1/4w;2/5b;41
 3; 7;;Iser Kouperman;;;2/13w;2/14b;2/2w;2/11b;1/6w;2/10b;0/1w;1/12b;2/4w;2/5b;1/9w;2/7b;1/8w;2/13b;2/14w;0/2b;2/11w;2/6b;2/10w;1/1b;1/12w;1/4b;2/5w;2/9b;2/7w;1/8b;40
 4; 3;;Marcel Deslauriers;;;1/6w;1/10b;1/1w;2/12b;0/8w;1/5w;1/9b;1/7w;0/3b;2/13w;2/14b;1/2w;2/11b;2/6b;1/10w;1/1b;2/12w;2/8b;1/5b;1/9w;2/7b;1/3w;1/13b;2/14w;1/2b;2/11w;34
 5; 4;;Raymond Saint-Fort;us;;1/11w;2/6b;1/10w;0/1b;1/12w;1/4b;2/8w;0/9w;1/7b;0/3w;2/13b;0/14w;0/2b;2/11b;2/6w;1/10b;1/1w;2/12b;1/4w;1/8b;2/9b;2/7w;0/3b;2/13w;2/14b;0/2w;29
 6;12;;Freek Gordijn;nl;;1/4b;0/5w;2/9b;1/7w;1/3b;2/13w;2/14b;1/2w;1/11b;0/8b;1/10w;0/1b;2/12w;0/4w;0/5b;1/9w;2/7b;0/3w;2/13b;2/14w;0/2b;1/11w;2/8w;1/10b;0/1w;1/12b;26
 7; 6;;Jan Bom;nl;;2/14w;1/2b;1/11w;1/6b;1/10w;0/1b;2/12w;1/4b;1/5w;1/9b;2/8w;0/3w;1/13b;1/14b;1/2w;1/11b;0/6w;1/10b;1/1w;2/12b;0/4w;0/5b;2/9w;1/8b;0/3b;2/13w;26
 8;14;;Louis Sen A Kauw;;;0/1b;2/13w;0/12b;1/14w;2/4b;0/2w;0/5b;2/11w;2/9b;2/6w;0/7b;1/10w;1/3b;1/1w;1/13b;1/12w;2/14b;0/4w;0/2b;1/5w;2/11b;1/9w;0/6b;1/7w;1/10b;1/3w;25
 9; 5;;Hugo Verpoest;;;0/2w;2/11b;0/6w;2/10b;0/1w;1/12b;1/4w;2/5b;0/8w;1/7w;1/3b;2/13w;2/14b;0/2b;1/11w;1/6b;1/10w;1/1b;0/12w;1/4b;0/5w;1/8b;0/7b;0/3w;1/13b;2/14w;23
10;13;;Baris Dukel;nl;;2/12b;1/4w;1/5b;0/9w;1/7b;0/3w;2/13b;2/14w;1/2b;0/11w;1/6b;1/8b;0/1w;1/12w;1/4b;1/5w;1/9b;1/7w;0/3b;0/13w;2/14b;0/2w;1/11b;1/6w;1/8w;1/1b;23
11;11;;Abel Verse;;;1/5b;0/9w;1/7b;0/3w;1/13b;2/14w;0/2b;0/8b;1/6w;2/10b;0/1w;1/12b;0/4w;0/5w;1/9b;1/7w;0/3b;2/13w;2/14b;0/2w;0/8w;1/6b;1/10w;0/1b;2/12w;0/4b;19
12; 2;;Pierre Dionis;;;0/10w;1/1b;2/8w;0/4w;1/5b;1/9w;0/7b;1/3w;1/13b;2/14w;0/2b;1/11w;0/6b;1/10b;0/1w;1/8b;0/4b;0/5w;2/9b;0/7w;1/3b;1/13w;2/14b;0/2w;0/11b;1/6w;19
13; 8;;Ayméric de Descallar;;;0/3b;0/8b;2/14w;0/2b;1/11w;0/6b;0/10w;0/1b;1/12w;0/4b;0/5w;0/9b;1/7w;0/3w;1/8w;2/14b;0/2w;0/11b;0/6w;2/10b;0/1w;1/12b;1/4w;0/5b;1/9w;0/7b;13
14; 9;;Ange Agliardi;;;0/7b;0/3w;0/13b;1/8b;0/2w;0/11b;0/6w;0/10b;0/1w;0/12b;0/4w;2/5b;0/9w;1/7w;0/3b;0/13w;0/8w;0/2b;0/11w;0/6b;0/10w;0/1b;0/12w;0/4b;0/5w;0/9b;4
