iv-memorial-lobaziewicza-2007
Gamefile na 9 rondes
Pl;Name;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd
1;S1;14s1;4w1;6s1;2w1;10s½;7w1;5s1;3s1;13w1
2;S2;17w1;18s1;5w½;1s0;11w1;9s½;15w1;10w1;7s1
3;S3;28w½;29s1;15w1;7s0;16s1;8w1;4s1;1w0;10s1
4;S4;34w1;1s0;12w½;24s1;28s1;21w1;3w0;8s1;5w1
5;S5;25s1;22w1;2s½;11w1;7s½;10w1;1w0;9s1;4s0
6;S6;19w1;13s1;1w0;10s0;17w1;15s0;14w1;12s1;18w1
7;S7;23s1;30w1;8s½;3w1;5w½;1s0;9w½;16s1;2w0
8;S8;12w1;15s½;7w½;13s1;9w½;3s0;16w1;4w0;17s1
9;S9;27s1;11w0;21s1;14w1;8s½;2w½;7s½;5w0;19s1
10;S10;20s1;16w1;11s½;6w1;1w½;5s0;12w1;2s0;3w0
11;S11;24w1;9s1;10w½;5s0;2s0;23w½;19s½;26w1;15w½
12;S12;8s0;26w1;4s½;21w½;22s1;18w1;10s0;6w0;28w1
13;S13;33s1;6w0;25s1;8w0;27s1;;23w1;15s1;1s0
14;S14;1w0;23s1;33w1;9s0;24w1;16s0;6s0;25w1;22s1
15;S15;31s1;8w½;3s0;20w½;25s1;6w1;2s0;13w0;11s½
16;S16;26s1;10s0;19w1;17s1;3w0;14w1;8s0;7w0;20s½
17;S17;2s0;32w1;30s1;16w0;6s0;25w1;21s½;27w1;8w0
18;S18;32s1;2w0;20s½;28w0;26s1;12s0;29w1;21w1;6s0
19;S19;6s0;31w1;16s0;22w0;30w1;24s1;11w½;20s1;9w0
20;S20;10w0;34s1;18w½;15s½;21s0;27w1;22s1;19w0;16w½
21;S21;29w½;28s1;9w0;12s½;20w1;4s0;17w½;18s0;26w½
22;S22;35w1;5s0;24w0;19s1;12w0;28s1;20w0;23s1;14w0
23;S23;7w0;14w0;26s½;30s1;29w1;11s½;13s0;22w0;35s1
24;S24;11s0;27w1;22s1;4w0;14s0;19w0;25s0;35w1;32s1
25;S25;5w0;35s1;13w0;33s1;15w0;17s0;24w1;14s0;29w1
26;S26;16w0;12s0;23w½;32s1;18w0;34s+;28w1;11s0;21s½
27;S27;9w0;24s0;32w1;35s1;13w0;20s0;33w1;17s0;31s1
28;S28;3s½;21w0;29s1;18s1;4w0;22w0;26s0;31w1;12s0
29;S29;21s½;3w0;28w0;34s1;23s0;33w1;18s0;30w1;25s0
30;S30;;7s0;17w0;23w0;19s0;35s1;31w0;29s0;33w1
31;S31;15w0;19s0;34w½;;;32w1;30s1;28s0;27w0
32;S32;18w0;17s0;27s0;26w0;34w½;31s0;35w1;33s1;24w0
33;S33;13w0;;14s0;25w0;35w1;29s0;27s0;32w0;30s0
34;S34;4s0;20w0;31s½;29w0;32s½;26w-;;;
35;S35;22s0;25w0;;27w0;33s0;30w0;32s0;24s0;23w0
#  [1]  884.8835  565.3952  465.8202  419.0265  474.3759  188.5666  410.4832  271.2520  238.5513  326.3732  109.0678    6.7476   79.3756 -107.2618   76.2259   13.3267 -264.6634 -264.5503
# [19] -220.6686 -244.4419 -264.0149 -329.3774 -404.6440 -489.5801 -422.1962 -377.9385        NA -396.5992 -743.5348        NA        NA        NA        NA        NA        NA
