Uit de toernooibestanden van Chess Results
43rd Olympiad Batumi 2018 Open ;0w0 vervangen door zwz
http://chess-results.com/tnr368908.aspx?lan=17&art=63&flag=30
Rk.;Mannschaft;1.Rd;2.Rd;3.Rd;4.Rd;5.Rd;6.Rd;7.Rd;8.Rd;9.Rd;10.Rd;11.Rd
1;China;69w3;64b3½;49b3;26w3½;12w1;17b2½;10b2;40w2½;15b2½;4w3;2b2
2;United States of America;96w4;51b2½;40b3;6w2½;39w2;65b3½;26b3;15w2½;4b1½;8b2½;1w2
3;Russia;104b4;82w3;43b2½;4b1½;49w3;6w2;52b2;30w3;33b3;5w2½;9b2½
4;Poland;81w4;57b4;47b2½;3w2½;9b3;10w2½;15w2;8b2;2w2½;1b1;6b2
5;England;124w3;71w3½;63b2½;15b½;33w3;9w2;41b2½;39b2½;29w3;3b1½;21w3½
6;India;92w3½;14w3½;23b3½;2b1½;67w3½;3b2;19w2½;12b2½;8w1½;40b3;4w2
7;Vietnam;113w4;107b2½;56w3½;9w1½;62b2;43b2;23w4;21w2;34b4;13w2;37b3
8;Armenia;58b3½;21w2½;42w2½;20b3;15w1½;48b3½;30b3;4w2;6b2½;2w1½;13b2
9;France;79w4;77b4;86w3½;7b2½;4w1;5b2;18b3;10w2½;13b2;26w2½;3w1½
10;Ukraine;109b3½;16b2½;27w2½;41b2½;25w2½;4b1½;1w2;9b1½;36w3;15b2½;12w2
11;Sweden;151b4;95w3½;19b2½;39b1;42w1½;77w3;24b3½;14w1;68b3;33w3;26b3
12;Czech Republic;119w4;72b3;62w2½;17w2½;1b3;15b1;39w2;6w1½;47b3½;25w2½;10b2
13;Germany;125b4;123w3½;52w2;18b2½;31w2½;39b2;40w2;25b2½;9w2;7b2;8w2
14;Austria;110w4;6b½;118b3½;58w3½;30b1;78w2½;65w2½;11b3;26w1;66b3;29w2½
15;Azerbaijan;60b3½;33b3;32w3½;5w3½;8b2½;12w3;4b2;2b1½;1w1½;10w1½;52b4
16;Uzbekistan;150b4;10w1½;18b1½;110b4;79w4;24w2;88b3½;22w2;20b2;47w3;31b3
