Competition name -  - Altibox 2019;;;;;;;;;;
Game file after Round 9 - 2020-05-06.;;;;;;;;;;
Pl;Name;1;2;3;4;5;6;7;8;9
1;Magnus Carlson;7w1;2b1;10w1;9w1;8b1;6w1;5b1;3w1;4b0
2;Levon Aronian;10w1;1w0;9b1;8w0;6b1;5w1;3b1;4w0;7b1
3;Yang Yu;8b1;6w1;5b0;10b1;4w1;7b1;2w0;1b0;9w1
4;Fabiano Caruana;9b0;8w1;6b0;5w0;3b0;10b1;7w1;2b1;1w1
5;Wesley So;6b0;10b1;3w1;4b1;7w0;2b0;1w0;9b1;8w1
6;Liren Ding;5w1;3b0;4w1;7b0;2w0;1b0;9w1;8b0;10w0
7;Viswanathan Anand;1b0;9w0;8b1;6w1;5b1;3w0;4b0;10b1;2w0
8;Maxime Vachier-Lagrave;3w0;4b0;7w0;2b1;1w0;9b1;10w1;6w1;5b0
9;Shakhriyar Mamedyarov;4w1;7b1;2w0;1b0;10w0;8w0;6b0;5w0;3b0
10;Alexander Grishuk;2b0;5w0;1b0;3w0;9b1;4w0;8b0;7w0;6b1
