;Altibox 2020 - Final;;;;;;;;;;
;https://en.wikipedia.org/wiki/Norway_Chess
;Game file after Round 10 - 2020-10-04.;;;;;;;;;;
Pl;Name;1;2;3;4;5;6;7;8;9;10
1;Magnus Carlsen;3b1½;2w1½;6b3;4w3;5b0;5w3;4b1½;6w3;2b3;3w0
2;Alireza Firouzja;5b3;1b1;4w1½;3b1½;6w3;6b3;3w1½;4b1;1w0;5w3
3;Levon Aronian;1w1;6w3;5b3;2w1;4b3;4w0;2b1;5w1;6b1½;1b3
4;Fabiano Caruana;6b3;5w3;2b1;1b0;3w0;3b3;1w1;2w1½;5b1½ ;6w1½
5;Jan-Krzysztof Duda;2w0;4b0;3w0;6b1;1w3;1b0;6w3;3b1½;4w1;2b0
6;Aryan Tari;4w0;3b0;1w0;5w1½;2b0;2w0;5b0;1b0;3w1;4b1
