Coppa Città di Verona Italie 2021 (Rapid)
fill in FMJD-report
Pl;FMJD-id;Title;Name;Cn;rating;R1;R2;R3;R4;R5;R6;Pt 
1;17237;mf;Alessio Scaggiante;it;2219;2/23w;1/6b;2/9w;2/7b;1/4w;2/21b;10
2;15266;mf;Daniele Macali;it;2145;2/33w;2/17b;2/12w;1/4w;2/6b;1/5b;10
3;18383;;Enes Habilaj;it;2069;2/41w;1/11w;1/10b;2/13b;2/14b;2/8w;10
4;11123;mf;Loris Milanese;it;2160;2/35w;2/32b;2/8w;1/2b;1/1b;1/7w;9
5;12925;mf;Luca Lorusso;it;2111;2/30b;1/7b;1/14w;2/12b;2/16w;1/2w;9
6;11127;mf;Aboubacar Sadikh Diop;sn;2180;2/24b;1/1w;2/34b;2/21b;0/2w;2/23b;9
7;12078;;Emanuele Danese;it;1968;2/26b;1/5w;2/11b;0/1w;2/20b;1/4b;8
8;15572;;Stefano Valentini;it;1931;2/25w;2/22w;0/4b;2/32b;2/10w;0/3b;8
9;11842;;Daniele Redivo;it;2022;2/31w;1/15w;0/1b;1/24w;2/32b;2/22w;8
10;18237;;Giovanni Fava;it;2027;2/29b;1/13b;1/3w;2/19w;0/8b;1/15w;7
11;13650;mf;Roberto Tovagliaro;it;2105;2/20w;1/3b;0/7w;2/29b;1/22w;1/17w;7
12;10167;mf;Moreno Manzana;it;2146;2/37b;2/18w;0/2b;0/5w;2/33b;1/14w;7
13;17664;;Andrea Cappelletto;it;1972;2/39b;1/10w;1/15b;0/3w;2/26w;1/18b;7
14;15582;;Walter Moscato;it;2135;1/28b;2/44b;1/5b;2/18w;0/3w;1/12b;7
15;11903;;Riccardo Agosti;it;2054;2/42w;1/9b;1/13w;1/22b;1/23w;1/10b;7
16;21185;;Rafael Antonio Peralta;do;2048;1/38b;1/19w;1/17w;2/30b;0/5b;2/28b;7
17;20547;;Roberto Senesi;it;1936;2/45b;0/2w;1/16b;2/40w;1/21w;1/11b;7
18;20552;;Matteo Fortunato;it;1932;2/40w;0/12b;2/33w;0/14b;2/28w;1/13w;7
19;18385;;Giacomo Giuseppe;it;1962;1/44w;1/16b;1/29w;0/10b;2/30w;2/31b;7
20;21949;;Alessandro Spica;it;1984;0/11b;1/41b;2/44w;2/42b;0/7w;2/29w;7
21;16535;;Nicola Gioffré;it;1967;2/27b;1/34w;2/28b;0/6w;1/17b;0/1w;6
22;13651;;Diego Tranquillini;it;1941;2/36w;0/8b;2/31w;1/15w;1/11b;0/9b;6
23;22296;;Simone Zanandrea;it;1942;0/1b;2/43w;1/27w;2/34b;1/15b;0/6w;6
24;18390;;Sara Habilaj;it;1882;0/6w;1/35b;2/41w;1/9b;1/31w;1/27b;6
25;22288;;Marco Stipcevich;it;1905;0/8b;2/36w;0/32w;0/31b;2/42w;2/39b;6
26;22163;;Luciano Sanson;it;;0/7w;1/30w;1/38w;2/45b;0/13b;2/43b;6
27;25011;;Loris Cicchirillo;it;1728;0/21w;2/46w;1/23b;0/28w;2/40b;1/24w;6
28;18238;;Damiano Anselmi;it;1951;1/14w;2/38b;0/21w;2/27b;0/18b;0/16w;5
29;19197;;Gabriele Cappelletto;it;;0/10w;2/39b;1/19b;0/11w;2/37w;0/20b;5
30;22297;;Francesco Maria;it;1912;0/5w;1/26b;2/37w;0/16w;0/19b;2/40w;5
31;22270;;Nicolò Turone;it;;0/9b;2/42w;0/22b;2/25w;1/24b;0/19w;5
32;22943;;Diego Signorini;it;1990;2/46w;0/4w;2/25b;0/8w;0/9w;1/35b;5
33;12239;;Mattia Brancaleone;it;1919;0/2b;2/45w;0/18b;2/38w;0/12w;1/34b;5
34;16527;;Simone Nappi;it;1913;2/43b;1/21b;0/6w;0/23w;1/35b;1/33w;5
35;22283;;Simone Piccinini;it;1931;0/4b;1/24w;0/40b;2/36w;1/34w;1/32w;5
36;24130;;Costante Bernardi;it;;0/22b;0/25b;1/43w;0/35b;2/45w;2/38b;5
37;22287;;Andrea Cappadonia;it;1877;0/12w;1/40b;0/30b;2/43w;0/29b;2/45w;5
38;25013;;Marco Munaretto;it;;1/16w;0/28w;1/26b;0/33b;2/41b;0/36w;4
39;22285;;Mattia Ciccone;it;1825;0/13w;0/29w;0/42b;2/46w;2/44b;0/25w;4
40;;;Sofia Pandolfo;it;;0/18b;1/37w;2/35w;0/17b;0/27w;0/30b;3
41;22290;;Giorgia Senesi;it;;0/3b;1/20w;0/24b;1/44b;0/38w;1/42b;3
42;22292;;Linda Piccinini;it;1918;0/15b;0/31b;2/39w;0/20w;0/25b;1/41w;3
43;22291;;Margherita Aielli;it;;0/34w;0/23b;1/36b;0/37b;2/46w;0/26w;3
44;22165;;Sabrina Perletti;it;;1/19b;0/14w;0/20b;1/41w;0/39w;0/46w;2
45;22282;;Luca Manzana;it;1838;0/17w;0/33b;2/46w;0/26w;0/36b;0/37b;2
46;;;Dummy;nl;;0/32b;0/27b;0/45b;0/39b;0/43b;0/44b;0
