;Colley matrix
;https://www.colleyrankings.com/matrate.pdf
;0.4130;0.5217;0.500;0.4783;0.5870;mean = Par /2
;x = c(19, 24, 23, 22, 27)/46; arndt-bruenner.de
Pos;Naam;1;2;3;4;5
1;a;bye;2w.;3z3;4w0;5z0
2;b;5w3;1z.;bye;3w0;4z.
3;c;4w3;5z0;1w0;2z3;bye
4;d;3z0;bye;5w.;1z3;2w.
5;e;2z0;3w3;4z.;bye;1w3
# b = ΣRes + Par
# Laplacian (L)
# (L + εI)x = b
# 1  2  3  4  5  b
# 5  0 -1 -1 -1 1/2
# 0  4 -1  0 -1 1
#-1 -1  6 -1 -1 1
#-1  0 -1  4  0 1
#-1 -1 -1  0  5 3/2
# grspar <- c(2,1), (growsums + .5) * 46
